feature_id,bunderbosbeek_1,bunderbosbeek_2,bunderbosbeek_3,bunderbosbeek_4,bunderbosbeek_5,bunderbosbeek_6,bunderbosbeek_7,bunderbosbeek_8,bunderbosbeek_9,bunderbosbeek_10,bunderbosbeek_11,bunderbosbeek_12,bunderbosbeek_13,bunderbosbeek_14,bunderbosbeek_15,oudebeek_1,oudebeek_2,oudebeek_3,oudebeek_4,oudebeek_5,oudebeek_6,oudebeek_7,oudebeek_8,oudebeek_9,oudebeek_10,oudebeek_11,oudebeek_12,oudebeek_13,oudebeek_14,seelbeek_1,seelbeek_2,seelbeek_3,seelbeek_4,seelbeek_5,seelbeek_6,seelbeek_7,seelbeek_8,seelbeek_9,seelbeek_10,seelbeek_11,seelbeek_12,seelbeek_13,seelbeek_14,seelbeek_15,seelbeek_16,strabekervloedgraaf_1,strabekervloedgraaf_2,strabekervloedgraaf_3,strabekervloedgraaf_4,strabekervloedgraaf_5,strabekervloedgraaf_6,strabekervloedgraaf_7,strabekervloedgraaf_8,strabekervloedgraaf_9,strabekervloedgraaf_10,strabekervloedgraaf_11,strabekervloedgraaf_12,strabekervloedgraaf_13,strabekervloedgraaf_14,strabekervloedgraaf_15
correlated144,67.0,6.0,78.0,59.0,31.0,49.0,23.0,29.0,10.0,33.0,40.0,64.0,56.0,51.0,50.0,5.0,77.0,50.0,21.0,4.0,58.0,43.0,18.0,72.0,23.0,19.0,37.0,11.0,75.0,77.0,1.0,42.0,64.0,25.0,49.0,6.0,48.0,75.0,46.0,4.0,11.0,66.0,40.0,57.0,4.0,80.0,14.0,9.0,80.0,74.0,20.0,54.0,64.0,33.0,73.0,72.0,73.0,63.0,67.0,18.0
correlated15,49.0,39.0,48.0,74.0,21.0,72.0,99.0,61.0,24.0,11.0,53.0,58.0,58.0,79.0,47.0,33.0,27.0,44.0,0.0,39.0,43.0,93.0,8.0,77.0,64.0,43.0,30.0,67.0,11.0,30.0,57.0,25.0,77.0,83.0,89.0,2.0,56.0,92.0,43.0,91.0,61.0,82.0,0.0,60.0,34.0,75.0,46.0,5.0,30.0,44.0,25.0,32.0,68.0,52.0,30.0,67.0,44.0,9.0,52.0,14.0
correlated16,22.0,19.0,49.0,56.0,83.0,39.0,4.0,79.0,48.0,91.0,28.0,19.0,99.0,99.0,80.0,22.0,94.0,48.0,3.0,59.0,89.0,94.0,42.0,3.0,46.0,42.0,1.0,44.0,40.0,51.0,63.0,35.0,97.0,76.0,46.0,88.0,90.0,55.0,92.0,99.0,69.0,41.0,60.0,96.0,3.0,16.0,95.0,10.0,54.0,46.0,71.0,38.0,36.0,44.0,46.0,99.0,58.0,92.0,23.0,5.0
correlated17,46.0,29.0,50.0,53.0,20.0,25.0,0.0,70.0,9.0,90.0,45.0,66.0,11.0,35.0,52.0,16.0,59.0,60.0,59.0,100.0,58.0,34.0,96.0,26.0,93.0,82.0,1.0,56.0,98.0,99.0,46.0,18.0,39.0,12.0,26.0,4.0,81.0,45.0,49.0,77.0,31.0,22.0,59.0,85.0,39.0,29.0,11.0,28.0,82.0,70.0,40.0,88.0,12.0,55.0,98.0,82.0,5.0,33.0,36.0,42.0
correlated18,64.0,10.0,48.0,67.0,48.0,60.0,77.0,49.0,53.0,76.0,16.0,50.0,65.0,19.0,78.0,78.0,79.0,21.0,59.0,33.0,30.0,66.0,92.0,55.0,43.0,32.0,64.0,83.0,42.0,46.0,58.0,57.0,32.0,18.0,6.0,80.0,57.0,50.0,82.0,45.0,39.0,43.0,71.0,95.0,49.0,27.0,41.0,78.0,74.0,78.0,29.0,19.0,60.0,10.0,51.0,27.0,38.0,76.0,27.0,7.0
correlated19,45.0,35.0,88.0,34.0,34.0,28.0,24.0,75.0,98.0,32.0,60.0,52.0,91.0,73.0,8.0,51.0,24.0,99.0,86.0,32.0,84.0,45.0,99.0,61.0,88.0,69.0,73.0,55.0,63.0,30.0,44.0,23.0,1.0,95.0,71.0,71.0,6.0,39.0,52.0,100.0,70.0,94.0,61.0,96.0,76.0,5.0,82.0,22.0,77.0,10.0,97.0,74.0,38.0,76.0,19.0,86.0,62.0,71.0,99.0,14.0
correlated2,66.0,75.0,18.0,80.0,77.0,49.0,39.0,24.0,34.0,59.0,45.0,73.0,24.0,30.0,16.0,86.0,18.0,9.0,40.0,50.0,34.0,39.0,62.0,12.0,2.0,54.0,31.0,65.0,44.0,42.0,96.0,52.0,77.0,52.0,45.0,74.0,46.0,29.0,90.0,34.0,68.0,14.0,46.0,14.0,70.0,20.0,22.0,36.0,1.0,40.0,72.0,63.0,56.0,85.0,60.0,96.0,58.0,70.0,94.0,13.0
correlated20,62.0,39.0,71.0,35.0,20.0,41.0,25.0,72.0,36.0,81.0,29.0,51.0,42.0,82.0,63.0,92.0,31.0,59.0,95.0,48.0,65.0,50.0,50.0,43.0,41.0,50.0,74.0,34.0,80.0,82.0,94.0,57.0,35.0,88.0,38.0,99.0,66.0,59.0,88.0,86.0,91.0,75.0,64.0,62.0,45.0,28.0,54.0,83.0,91.0,30.0,61.0,22.0,43.0,75.0,22.0,34.0,98.0,36.0,23.0,82.0
correlated21,57.0,85.0,63.0,71.0,75.0,38.0,98.0,87.0,100.0,50.0,60.0,44.0,33.0,54.0,29.0,80.0,87.0,84.0,70.0,28.0,21.0,65.0,52.0,49.0,62.0,64.0,41.0,55.0,22.0,36.0,78.0,82.0,21.0,65.0,65.0,21.0,21.0,20.0,78.0,51.0,52.0,21.0,99.0,31.0,78.0,68.0,47.0,77.0,84.0,39.0,37.0,29.0,59.0,36.0,36.0,45.0,61.0,26.0,98.0,23.0
correlated22,52.0,97.0,51.0,76.0,76.0,17.0,33.0,37.0,48.0,13.0,73.0,13.0,5.0,85.0,52.0,15.0,66.0,84.0,0.0,53.0,22.0,45.0,19.0,66.0,75.0,11.0,63.0,23.0,59.0,16.0,96.0,12.0,18.0,31.0,23.0,96.0,83.0,53.0,8.0,7.0,55.0,34.0,84.0,33.0,21.0,42.0,50.0,26.0,14.0,59.0,1.0,29.0,17.0,54.0,61.0,31.0,8.0,2.0,53.0,66.0
correlated23,13.0,11.0,49.0,43.0,40.0,56.0,25.0,2.0,2.0,26.0,11.0,38.0,43.0,21.0,34.0,37.0,42.0,15.0,28.0,53.0,48.0,5.0,11.0,38.0,18.0,19.0,6.0,39.0,51.0,23.0,29.0,26.0,10.0,15.0,7.0,32.0,22.0,49.0,43.0,23.0,53.0,53.0,7.0,2.0,5.0,55.0,20.0,54.0,43.0,33.0,35.0,28.0,56.0,15.0,40.0,30.0,39.0,36.0,18.0,9.0
correlated24,56.0,57.0,7.0,40.0,66.0,55.0,48.0,16.0,38.0,21.0,55.0,31.0,9.0,73.0,43.0,20.0,1.0,55.0,44.0,44.0,68.0,17.0,44.0,52.0,57.0,80.0,45.0,12.0,49.0,7.0,14.0,13.0,39.0,6.0,3.0,15.0,8.0,80.0,18.0,73.0,31.0,69.0,78.0,34.0,66.0,55.0,72.0,25.0,74.0,67.0,48.0,75.0,7.0,8.0,1.0,65.0,26.0,39.0,11.0,77.0
correlated25,18.0,7.0,96.0,2.0,80.0,13.0,77.0,16.0,73.0,71.0,22.0,26.0,85.0,76.0,7.0,46.0,23.0,17.0,99.0,57.0,13.0,84.0,91.0,56.0,46.0,62.0,53.0,29.0,62.0,82.0,38.0,99.0,74.0,56.0,43.0,68.0,1.0,92.0,26.0,33.0,98.0,86.0,47.0,99.0,26.0,79.0,18.0,21.0,10.0,19.0,94.0,39.0,73.0,94.0,98.0,67.0,56.0,75.0,40.0,14.0
correlated26,56.0,82.0,92.0,36.0,41.0,32.0,89.0,33.0,84.0,72.0,39.0,78.0,48.0,43.0,81.0,46.0,85.0,39.0,77.0,46.0,73.0,42.0,58.0,60.0,75.0,66.0,47.0,85.0,83.0,74.0,86.0,38.0,51.0,35.0,21.0,66.0,33.0,93.0,25.0,88.0,68.0,91.0,26.0,70.0,29.0,71.0,74.0,63.0,62.0,49.0,49.0,54.0,82.0,77.0,39.0,40.0,88.0,43.0,79.0,54.0
correlated27,55.0,46.0,85.0,53.0,33.0,53.0,49.0,80.0,33.0,48.0,33.0,53.0,66.0,35.0,45.0,45.0,55.0,66.0,47.0,89.0,70.0,46.0,100.0,86.0,100.0,48.0,24.0,65.0,51.0,40.0,31.0,40.0,41.0,51.0,65.0,30.0,28.0,79.0,53.0,35.0,89.0,85.0,70.0,99.0,92.0,52.0,89.0,30.0,28.0,54.0,94.0,46.0,99.0,49.0,40.0,53.0,66.0,80.0,96.0,98.0
correlated28,76.0,60.0,20.0,19.0,38.0,0.0,20.0,58.0,80.0,87.0,34.0,20.0,22.0,82.0,16.0,32.0,64.0,97.0,10.0,77.0,60.0,42.0,91.0,88.0,54.0,94.0,13.0,92.0,8.0,0.0,23.0,17.0,24.0,9.0,30.0,31.0,82.0,15.0,97.0,92.0,63.0,40.0,61.0,73.0,67.0,57.0,85.0,23.0,37.0,70.0,38.0,56.0,97.0,81.0,35.0,30.0,37.0,86.0,81.0,78.0
correlated29,40.0,3.0,2.0,11.0,54.0,11.0,43.0,9.0,40.0,34.0,32.0,27.0,16.0,0.0,30.0,52.0,3.0,59.0,12.0,42.0,33.0,12.0,9.0,46.0,23.0,58.0,22.0,60.0,25.0,59.0,43.0,32.0,7.0,25.0,21.0,2.0,27.0,41.0,53.0,33.0,11.0,33.0,47.0,39.0,1.0,53.0,35.0,33.0,46.0,35.0,7.0,52.0,42.0,44.0,24.0,30.0,56.0,52.0,28.0,92.0
correlated3,76.0,74.0,100.0,2.0,17.0,21.0,22.0,67.0,29.0,14.0,82.0,77.0,22.0,51.0,77.0,82.0,62.0,95.0,42.0,55.0,55.0,62.0,28.0,52.0,11.0,31.0,74.0,24.0,33.0,47.0,34.0,23.0,36.0,66.0,65.0,99.0,39.0,100.0,96.0,2.0,75.0,47.0,60.0,85.0,45.0,86.0,73.0,40.0,53.0,78.0,1.0,25.0,20.0,43.0,31.0,9.0,31.0,91.0,86.0,63.0
correlated30,78.0,8.0,7.0,55.0,59.0,72.0,14.0,55.0,63.0,67.0,9.0,64.0,74.0,54.0,64.0,67.0,18.0,74.0,54.0,64.0,14.0,45.0,20.0,76.0,39.0,23.0,29.0,54.0,8.0,17.0,43.0,11.0,68.0,21.0,63.0,23.0,41.0,58.0,0.0,0.0,60.0,54.0,67.0,9.0,33.0,2.0,80.0,35.0,37.0,66.0,60.0,38.0,72.0,7.0,62.0,55.0,64.0,12.0,78.0,4.0
correlated31,82.0,80.0,14.0,92.0,17.0,28.0,30.0,4.0,84.0,97.0,41.0,52.0,33.0,50.0,73.0,21.0,64.0,17.0,86.0,27.0,77.0,14.0,72.0,8.0,8.0,36.0,35.0,14.0,13.0,47.0,19.0,38.0,88.0,6.0,9.0,27.0,48.0,76.0,17.0,47.0,78.0,95.0,8.0,84.0,67.0,80.0,41.0,64.0,50.0,61.0,65.0,67.0,68.0,38.0,19.0,68.0,37.0,95.0,67.0,15.0
correlated32,85.0,63.0,30.0,78.0,26.0,58.0,45.0,78.0,81.0,46.0,73.0,73.0,30.0,58.0,50.0,37.0,37.0,33.0,42.0,49.0,68.0,74.0,73.0,36.0,83.0,46.0,81.0,99.0,82.0,42.0,71.0,50.0,54.0,68.0,76.0,58.0,49.0,74.0,24.0,24.0,56.0,40.0,21.0,34.0,39.0,61.0,62.0,88.0,48.0,73.0,40.0,93.0,54.0,22.0,55.0,41.0,25.0,44.0,52.0,69.0
correlated33,49.0,45.0,42.0,54.0,44.0,91.0,71.0,55.0,81.0,99.0,21.0,34.0,75.0,71.0,68.0,44.0,77.0,61.0,27.0,70.0,99.0,37.0,78.0,39.0,37.0,25.0,94.0,74.0,40.0,94.0,68.0,92.0,98.0,61.0,30.0,79.0,74.0,76.0,39.0,53.0,55.0,34.0,50.0,81.0,82.0,76.0,49.0,98.0,56.0,90.0,29.0,45.0,31.0,32.0,56.0,68.0,23.0,87.0,61.0,43.0
correlated34,47.0,79.0,0.0,21.0,28.0,25.0,53.0,90.0,75.0,14.0,90.0,80.0,11.0,44.0,76.0,40.0,99.0,83.0,21.0,30.0,19.0,16.0,88.0,21.0,76.0,79.0,75.0,77.0,67.0,8.0,85.0,95.0,20.0,89.0,95.0,3.0,21.0,90.0,79.0,87.0,51.0,19.0,50.0,66.0,7.0,81.0,68.0,62.0,64.0,45.0,45.0,61.0,35.0,32.0,9.0,6.0,1.0,15.0,32.0,21.0
correlated35,9.0,16.0,52.0,49.0,50.0,13.0,82.0,44.0,32.0,19.0,47.0,58.0,15.0,55.0,7.0,55.0,52.0,52.0,8.0,18.0,46.0,47.0,53.0,4.0,11.0,49.0,52.0,59.0,48.0,6.0,19.0,13.0,17.0,9.0,17.0,24.0,8.0,9.0,23.0,39.0,60.0,41.0,8.0,8.0,48.0,29.0,3.0,32.0,40.0,28.0,17.0,53.0,2.0,15.0,52.0,8.0,22.0,51.0,7.0,54.0
correlated36,31.0,73.0,73.0,44.0,63.0,13.0,37.0,67.0,21.0,42.0,41.0,7.0,77.0,65.0,73.0,42.0,50.0,75.0,58.0,17.0,52.0,55.0,25.0,8.0,61.0,61.0,70.0,1.0,27.0,50.0,56.0,67.0,32.0,77.0,11.0,22.0,74.0,31.0,54.0,25.0,75.0,11.0,54.0,33.0,38.0,5.0,3.0,73.0,72.0,44.0,13.0,66.0,18.0,7.0,7.0,79.0,29.0,78.0,14.0,80.0
correlated37,39.0,7.0,35.0,69.0,52.0,8.0,20.0,91.0,22.0,20.0,82.0,16.0,14.0,62.0,31.0,68.0,6.0,17.0,35.0,2.0,78.0,7.0,83.0,75.0,56.0,62.0,82.0,29.0,73.0,74.0,27.0,98.0,25.0,24.0,40.0,98.0,91.0,99.0,65.0,26.0,89.0,17.0,85.0,28.0,71.0,31.0,61.0,19.0,75.0,10.0,92.0,2.0,68.0,26.0,86.0,83.0,12.0,24.0,22.0,53.0
correlated38,61.0,66.0,47.0,33.0,85.0,72.0,91.0,81.0,81.0,50.0,61.0,95.0,79.0,83.0,62.0,64.0,54.0,62.0,52.0,69.0,41.0,53.0,40.0,53.0,99.0,87.0,99.0,92.0,65.0,52.0,93.0,66.0,80.0,97.0,100.0,83.0,27.0,88.0,100.0,81.0,40.0,28.0,28.0,24.0,46.0,67.0,37.0,27.0,99.0,79.0,82.0,29.0,87.0,34.0,50.0,98.0,43.0,67.0,83.0,77.0
correlated39,88.0,77.0,76.0,93.0,80.0,22.0,29.0,32.0,96.0,66.0,78.0,55.0,37.0,62.0,25.0,81.0,100.0,89.0,34.0,45.0,97.0,41.0,73.0,90.0,95.0,95.0,40.0,50.0,82.0,94.0,80.0,58.0,93.0,50.0,90.0,35.0,51.0,98.0,29.0,39.0,75.0,43.0,26.0,22.0,44.0,28.0,65.0,63.0,20.0,68.0,40.0,100.0,42.0,24.0,20.0,66.0,97.0,25.0,39.0,26.0
correlated4,13.0,88.0,61.0,48.0,46.0,79.0,66.0,59.0,28.0,65.0,44.0,99.0,80.0,70.0,85.0,11.0,94.0,43.0,16.0,62.0,43.0,74.0,27.0,26.0,39.0,64.0,8.0,50.0,78.0,0.0,99.0,5.0,70.0,24.0,74.0,43.0,1.0,92.0,63.0,26.0,49.0,55.0,78.0,69.0,44.0,88.0,66.0,58.0,28.0,49.0,83.0,8.0,96.0,35.0,35.0,68.0,51.0,35.0,85.0,43.0
correlated40,74.0,15.0,87.0,82.0,88.0,1.0,14.0,39.0,47.0,70.0,17.0,20.0,52.0,14.0,96.0,66.0,99.0,30.0,62.0,20.0,2.0,91.0,2.0,46.0,88.0,34.0,37.0,89.0,69.0,12.0,30.0,37.0,27.0,68.0,43.0,72.0,94.0,66.0,21.0,39.0,10.0,96.0,32.0,4.0,73.0,88.0,8.0,16.0,76.0,53.0,47.0,66.0,87.0,93.0,48.0,26.0,45.0,24.0,80.0,19.0
correlated41,15.0,10.0,54.0,58.0,55.0,17.0,52.0,0.0,48.0,25.0,23.0,55.0,20.0,37.0,54.0,40.0,45.0,33.0,4.0,58.0,22.0,60.0,23.0,10.0,41.0,0.0,23.0,2.0,23.0,11.0,21.0,29.0,51.0,13.0,22.0,57.0,26.0,25.0,29.0,36.0,43.0,21.0,48.0,59.0,32.0,40.0,43.0,22.0,41.0,13.0,27.0,54.0,45.0,54.0,22.0,34.0,28.0,53.0,10.0,57.0
correlated42,35.0,71.0,3.0,78.0,30.0,24.0,63.0,37.0,12.0,8.0,35.0,55.0,36.0,6.0,50.0,52.0,32.0,32.0,2.0,15.0,80.0,2.0,44.0,79.0,70.0,19.0,20.0,22.0,76.0,13.0,62.0,58.0,64.0,46.0,77.0,14.0,42.0,1.0,7.0,4.0,55.0,7.0,59.0,65.0,76.0,33.0,18.0,32.0,70.0,28.0,34.0,47.0,17.0,13.0,9.0,21.0,7.0,38.0,52.0,60.0
correlated43,95.0,83.0,53.0,10.0,68.0,83.0,48.0,52.0,18.0,6.0,66.0,87.0,92.0,55.0,16.0,11.0,82.0,57.0,87.0,93.0,54.0,61.0,21.0,44.0,33.0,38.0,36.0,39.0,71.0,78.0,76.0,98.0,64.0,63.0,3.0,19.0,41.0,96.0,98.0,30.0,51.0,57.0,91.0,19.0,93.0,3.0,60.0,60.0,23.0,23.0,60.0,38.0,48.0,4.0,10.0,81.0,59.0,77.0,21.0,65.0
correlated44,51.0,63.0,52.0,20.0,61.0,46.0,72.0,63.0,99.0,33.0,37.0,99.0,67.0,42.0,61.0,43.0,93.0,40.0,33.0,31.0,71.0,84.0,28.0,32.0,93.0,41.0,62.0,81.0,28.0,26.0,67.0,91.0,48.0,87.0,41.0,55.0,51.0,68.0,40.0,97.0,40.0,48.0,94.0,61.0,51.0,81.0,72.0,54.0,48.0,24.0,71.0,55.0,62.0,89.0,90.0,26.0,20.0,60.0,58.0,66.0
correlated45,40.0,64.0,58.0,65.0,25.0,78.0,88.0,26.0,37.0,72.0,50.0,100.0,98.0,95.0,43.0,87.0,61.0,64.0,89.0,85.0,97.0,89.0,27.0,36.0,54.0,74.0,76.0,75.0,20.0,37.0,25.0,48.0,46.0,84.0,43.0,88.0,96.0,78.0,20.0,22.0,23.0,23.0,40.0,53.0,79.0,36.0,72.0,43.0,41.0,76.0,29.0,58.0,36.0,27.0,78.0,43.0,20.0,61.0,21.0,83.0
correlated46,67.0,95.0,8.0,69.0,91.0,51.0,84.0,16.0,10.0,32.0,39.0,96.0,59.0,60.0,69.0,1.0,24.0,46.0,22.0,72.0,5.0,25.0,73.0,32.0,35.0,9.0,44.0,68.0,82.0,3.0,31.0,68.0,53.0,84.0,77.0,53.0,3.0,59.0,27.0,78.0,35.0,74.0,48.0,34.0,17.0,84.0,85.0,96.0,14.0,70.0,2.0,61.0,82.0,89.0,9.0,25.0,70.0,17.0,86.0,17.0
correlated47,2.0,45.0,3.0,29.0,45.0,53.0,44.0,40.0,9.0,10.0,8.0,13.0,48.0,43.0,52.0,30.0,9.0,2.0,19.0,35.0,19.0,58.0,35.0,16.0,19.0,2.0,11.0,19.0,24.0,42.0,2.0,28.0,39.0,29.0,5.0,29.0,37.0,43.0,2.0,56.0,58.0,14.0,15.0,16.0,1.0,48.0,45.0,23.0,43.0,59.0,8.0,17.0,2.0,33.0,54.0,41.0,42.0,33.0,15.0,21.0
correlated48,61.0,57.0,21.0,75.0,80.0,52.0,76.0,49.0,55.0,16.0,25.0,79.0,9.0,40.0,63.0,69.0,66.0,38.0,47.0,39.0,49.0,41.0,29.0,30.0,47.0,58.0,40.0,23.0,11.0,23.0,24.0,17.0,1.0,12.0,67.0,65.0,23.0,54.0,52.0,66.0,2.0,66.0,66.0,44.0,60.0,23.0,56.0,71.0,41.0,63.0,8.0,20.0,47.0,52.0,58.0,53.0,26.0,14.0,12.0,16.0
correlated49,88.0,28.0,37.0,97.0,48.0,41.0,55.0,81.0,44.0,66.0,71.0,50.0,55.0,51.0,71.0,56.0,68.0,75.0,41.0,80.0,78.0,12.0,18.0,97.0,97.0,40.0,19.0,65.0,84.0,92.0,93.0,57.0,39.0,83.0,36.0,85.0,39.0,68.0,20.0,73.0,11.0,39.0,73.0,61.0,63.0,43.0,88.0,33.0,49.0,25.0,9.0,97.0,13.0,79.0,95.0,55.0,58.0,16.0,82.0,62.0
correlated5,9.0,68.0,71.0,54.0,21.0,83.0,82.0,77.0,89.0,7.0,45.0,56.0,20.0,57.0,77.0,97.0,48.0,40.0,29.0,73.0,68.0,61.0,91.0,55.0,97.0,58.0,46.0,41.0,69.0,8.0,16.0,56.0,76.0,48.0,88.0,49.0,54.0,77.0,50.0,85.0,25.0,50.0,73.0,50.0,67.0,84.0,84.0,43.0,78.0,41.0,18.0,51.0,55.0,62.0,30.0,41.0,35.0,50.0,37.0,80.0
correlated50,96.0,31.0,76.0,31.0,37.0,87.0,30.0,93.0,96.0,56.0,75.0,22.0,44.0,33.0,40.0,71.0,29.0,89.0,80.0,31.0,100.0,65.0,81.0,45.0,93.0,56.0,78.0,64.0,26.0,58.0,49.0,37.0,42.0,70.0,94.0,63.0,21.0,83.0,24.0,82.0,83.0,25.0,94.0,66.0,20.0,47.0,94.0,31.0,65.0,80.0,59.0,100.0,52.0,28.0,69.0,87.0,47.0,84.0,36.0,99.0
correlated51,38.0,57.0,21.0,36.0,26.0,29.0,54.0,52.0,67.0,24.0,87.0,36.0,63.0,77.0,35.0,75.0,72.0,24.0,36.0,98.0,92.0,21.0,42.0,85.0,72.0,40.0,91.0,70.0,60.0,68.0,87.0,48.0,26.0,85.0,51.0,35.0,76.0,35.0,62.0,91.0,59.0,91.0,62.0,20.0,47.0,21.0,97.0,85.0,20.0,58.0,55.0,97.0,86.0,20.0,22.0,96.0,94.0,27.0,97.0,59.0
correlated52,40.0,58.0,83.0,27.0,65.0,7.0,41.0,6.0,83.0,59.0,54.0,55.0,16.0,93.0,60.0,1.0,14.0,50.0,25.0,27.0,12.0,50.0,88.0,35.0,84.0,16.0,89.0,91.0,61.0,88.0,71.0,10.0,82.0,3.0,61.0,40.0,18.0,18.0,74.0,6.0,0.0,62.0,68.0,39.0,7.0,65.0,66.0,93.0,20.0,31.0,68.0,33.0,68.0,81.0,2.0,24.0,84.0,84.0,23.0,16.0
correlated53,28.0,49.0,46.0,51.0,26.0,18.0,16.0,1.0,6.0,27.0,47.0,7.0,55.0,30.0,38.0,21.0,2.0,60.0,47.0,14.0,5.0,47.0,51.0,57.0,60.0,54.0,30.0,19.0,11.0,18.0,46.0,2.0,44.0,44.0,48.0,36.0,20.0,18.0,4.0,19.0,44.0,4.0,4.0,13.0,31.0,13.0,26.0,57.0,43.0,54.0,29.0,60.0,8.0,10.0,10.0,44.0,27.0,42.0,52.0,49.0
correlated54,52.0,43.0,9.0,12.0,42.0,40.0,32.0,32.0,22.0,64.0,27.0,21.0,19.0,19.0,65.0,13.0,55.0,19.0,54.0,32.0,6.0,29.0,13.0,10.0,31.0,74.0,47.0,26.0,30.0,58.0,17.0,73.0,49.0,0.0,32.0,40.0,22.0,50.0,39.0,56.0,51.0,11.0,23.0,20.0,49.0,69.0,2.0,20.0,4.0,1.0,9.0,6.0,75.0,38.0,3.0,3.0,30.0,77.0,33.0,5.0
correlated55,96.0,10.0,43.0,96.0,55.0,10.0,47.0,61.0,78.0,9.0,89.0,12.0,19.0,19.0,49.0,19.0,69.0,35.0,45.0,20.0,53.0,98.0,17.0,43.0,31.0,46.0,26.0,40.0,84.0,14.0,85.0,52.0,17.0,98.0,45.0,20.0,5.0,91.0,22.0,17.0,47.0,85.0,75.0,18.0,40.0,64.0,48.0,16.0,20.0,58.0,19.0,67.0,37.0,73.0,11.0,86.0,62.0,100.0,54.0,88.0
correlated56,49.0,81.0,97.0,89.0,83.0,43.0,100.0,50.0,23.0,21.0,78.0,54.0,76.0,27.0,69.0,93.0,89.0,94.0,87.0,97.0,83.0,63.0,64.0,72.0,38.0,36.0,54.0,70.0,51.0,91.0,73.0,60.0,52.0,99.0,95.0,68.0,75.0,40.0,94.0,57.0,24.0,28.0,99.0,56.0,85.0,52.0,27.0,58.0,77.0,79.0,75.0,78.0,26.0,36.0,90.0,23.0,81.0,56.0,87.0,41.0
correlated57,41.0,40.0,69.0,46.0,96.0,45.0,60.0,80.0,45.0,38.0,82.0,87.0,50.0,39.0,65.0,30.0,61.0,83.0,52.0,39.0,76.0,95.0,35.0,24.0,37.0,57.0,58.0,77.0,21.0,85.0,57.0,27.0,76.0,80.0,24.0,31.0,65.0,21.0,30.0,66.0,33.0,54.0,86.0,98.0,78.0,65.0,83.0,86.0,23.0,21.0,46.0,32.0,73.0,80.0,93.0,83.0,20.0,99.0,49.0,62.0
correlated58,64.0,16.0,15.0,67.0,97.0,41.0,25.0,78.0,23.0,17.0,28.0,76.0,8.0,46.0,40.0,91.0,38.0,34.0,10.0,31.0,47.0,73.0,78.0,13.0,84.0,85.0,20.0,5.0,88.0,39.0,60.0,69.0,75.0,40.0,83.0,90.0,11.0,33.0,30.0,78.0,18.0,86.0,98.0,7.0,56.0,78.0,21.0,27.0,31.0,56.0,89.0,0.0,46.0,32.0,78.0,20.0,75.0,39.0,80.0,2.0
correlated59,57.0,12.0,9.0,42.0,49.0,29.0,43.0,72.0,21.0,18.0,9.0,24.0,56.0,47.0,33.0,48.0,56.0,28.0,59.0,59.0,26.0,29.0,22.0,9.0,11.0,62.0,19.0,6.0,3.0,8.0,57.0,16.0,32.0,53.0,40.0,6.0,22.0,37.0,22.0,33.0,15.0,24.0,13.0,18.0,29.0,36.0,50.0,36.0,53.0,34.0,21.0,58.0,22.0,45.0,53.0,38.0,29.0,14.0,7.0,53.0
correlated6,51.0,97.0,85.0,53.0,49.0,78.0,48.0,80.0,23.0,19.0,20.0,54.0,3.0,98.0,24.0,98.0,37.0,54.0,40.0,66.0,75.0,60.0,99.0,9.0,82.0,60.0,88.0,61.0,98.0,25.0,88.0,11.0,54.0,22.0,98.0,62.0,42.0,12.0,46.0,64.0,34.0,7.0,81.0,66.0,63.0,18.0,7.0,58.0,88.0,47.0,22.0,99.0,28.0,63.0,5.0,34.0,91.0,77.0,2.0,22.0
correlated60,50.0,79.0,46.0,37.0,69.0,41.0,76.0,28.0,4.0,73.0,34.0,64.0,38.0,30.0,68.0,74.0,61.0,19.0,79.0,20.0,28.0,17.0,27.0,25.0,24.0,65.0,45.0,17.0,41.0,75.0,19.0,0.0,40.0,39.0,66.0,71.0,3.0,38.0,71.0,0.0,61.0,4.0,45.0,4.0,57.0,74.0,67.0,48.0,53.0,39.0,72.0,27.0,10.0,44.0,24.0,68.0,74.0,78.0,64.0,76.0
correlated61,63.0,56.0,7.0,9.0,93.0,2.0,9.0,87.0,6.0,53.0,59.0,33.0,84.0,16.0,94.0,38.0,91.0,61.0,50.0,88.0,46.0,94.0,72.0,30.0,93.0,73.0,30.0,19.0,64.0,5.0,68.0,50.0,32.0,25.0,30.0,37.0,40.0,92.0,71.0,93.0,25.0,22.0,57.0,53.0,14.0,58.0,48.0,3.0,88.0,27.0,23.0,4.0,3.0,37.0,6.0,59.0,82.0,80.0,68.0,62.0
correlated62,50.0,75.0,85.0,47.0,76.0,40.0,66.0,47.0,69.0,84.0,93.0,30.0,84.0,99.0,82.0,92.0,98.0,73.0,46.0,51.0,63.0,92.0,58.0,30.0,50.0,63.0,98.0,82.0,82.0,26.0,98.0,83.0,68.0,64.0,52.0,20.0,82.0,34.0,93.0,73.0,80.0,27.0,74.0,28.0,49.0,27.0,70.0,97.0,85.0,97.0,67.0,63.0,47.0,83.0,93.0,71.0,100.0,89.0,87.0,94.0
