feature_id,bunderbosbeek_1,bunderbosbeek_2,bunderbosbeek_3,bunderbosbeek_4,bunderbosbeek_5,bunderbosbeek_6,bunderbosbeek_7,bunderbosbeek_8,bunderbosbeek_9,bunderbosbeek_10,bunderbosbeek_11,bunderbosbeek_12,bunderbosbeek_13,bunderbosbeek_14,bunderbosbeek_15,oude beek goede tak_1,oude beek goede tak_2,oude beek goede tak_3,oude beek goede tak_4,oude beek goede tak_5,oude beek goede tak_6,oude beek goede tak_7,oude beek goede tak_8,oude beek goede tak_9,oude beek goede tak_10,oude beek goede tak_11,oude beek goede tak_12,oude beek goede tak_13,oude beek goede tak_14,seelbeek_1,seelbeek_2,seelbeek_3,seelbeek_4,seelbeek_5,seelbeek_6,seelbeek_7,seelbeek_8,seelbeek_9,seelbeek_10,seelbeek_11,seelbeek_12,seelbeek_13,seelbeek_14,seelbeek_15,seelbeek_16,strabekervloedgraaf_1,strabekervloedgraaf_2,strabekervloedgraaf_3,strabekervloedgraaf_4,strabekervloedgraaf_5,strabekervloedgraaf_6,strabekervloedgraaf_7,strabekervloedgraaf_8,strabekervloedgraaf_9,strabekervloedgraaf_10,strabekervloedgraaf_11,strabekervloedgraaf_12,strabekervloedgraaf_13,strabekervloedgraaf_14,strabekervloedgraaf_15
random106,31,12,36,86,15,6,96,47,32,20,30,96,23,50,68,82,86,17,49,9,16,51,67,80,20,3,16,14,52,89,28,29,49,25,90,10,61,25,62,25,55,5,91,78,24,67,37,32,1,26,40,82,37,13,65,94,10,71,69,42
random107,1,5,5,9,2,8,8,6,1,9,7,1,5,3,10,0,9,8,5,6,8,1,4,6,4,10,6,8,4,10,8,4,0,4,1,2,0,6,4,6,3,2,4,9,9,4,8,3,3,5,9,6,8,6,0,3,3,1,6,1
random108,0.293779136,0.412207462,0.667011880,0.143153032,0.417758536,0.995896840,0.906626425,0.686184134,0.140703110,0.340950630,0.471571647,0.646584203,0.990288523,0.607457284,0.318706296,0.447567717,0.461098653,0.627371615,0.413007621,0.237606590,0.043663594,0.362307658,0.266134444,0.599869161,0.187867547,0.211320657,0.119122268,0.871235291,0.832980179,0.133311284,0.584955688,0.706047584,0.774595732,0.252370879,0.082745573,0.870914154,0.726084332,0.383904502,0.045964680,0.086032534,0.361963208,0.265218257,0.808956856,0.451152737,0.329160362,0.226884457,0.484045585,0.407527250,0.804034969,0.918749649,0.129504574,0.722443528,0.874702648,0.632540954,0.033851585,0.600263588,0.432713833,0.307916242,0.932713766,0.811798805
random109,0.172368042,0.641997177,0.454367723,0.173706645,0.375175942,0.107823526,0.640461911,0.077146252,0.11946033,0.495631855,0.691305139,0.134014505,0.241721581,0.73010298,0.055515265,0.7476117,0.80804909,0.734686121,0.29366805,0.869854019,0.987809041,0.613740387,0.654894034,0.491344093,0.398836041,0.606840425,0.305854198,0.089057698,0.684175812,0.811189365,0.547889293,0.379002158,0.206564855,0.740092945,0.457376716,0.540958425,0.297556279,0.173024699,0.508222681,0.302960875,0.446444389,0.81141689,0.264707755,0.538094573,0.100440922,0.793000099,0.995722239,0.922099226,0.610684245,0.902607343,0.159026568,0.080387291,0.33026202,0.868242617,0.106547115,0.00073946,0.579461959,0.576506556,0.949252507,0.666059133
random110,51,34,33,46,64,91,99,20,18,56,71,28,24,2,21,66,90,3,7,35,5,42,43,2,63,39,65,1,63,28,60,0,54,2,51,43,36,71,61,74,80,50,60,80,77,82,69,82,15,12,58,39,45,16,6,18,9,59,27,78
random111,9,2,1,2,10,8,7,0,4,5,5,4,5,4,0,8,0,6,9,5,4,0,1,2,10,10,4,2,9,9,10,7,6,4,0,8,5,5,5,9,8,10,1,2,4,6,4,9,4,7,9,0,5,7,1,3,2,10,4,7
random112,0.707048535,0.868659113,0.298094527,0.710261463,0.569409727,0.828881757,0.375523750,0.956584007,0.742960094,0.940362061,0.290907685,0.902537007,0.734093463,0.878924280,0.580567640,0.778737140,0.890163728,0.413508703,0.543458550,0.813836495,0.677151201,0.739565989,0.165954823,0.337679601,0.895547278,0.927365652,0.378122644,0.594451119,0.095074698,0.361122123,0.739149506,0.356939366,0.625736508,0.548472036,0.901359541,0.957787423,0.468532026,0.706038839,0.998562426,0.078002663,0.419508453,0.015175931,0.857731099,0.529658234,0.500631339,0.356477971,0.354993766,0.648849337,0.246066011,0.811958929,0.018942339,0.437357941,0.794286755,0.446244494,0.737719416,0.427467190,0.577392901,0.823812926,0.681445766,0.909559560
random113,0.236299264,0.385897668,0.248730919,0.827037283,0.911818109,0.329991079,0.303443493,0.177095062,0.352372807,0.453297585,0.031087182,0.023988512,0.416493017,0.692801211,0.801525633,0.383382244,0.290463594,0.345289003,0.14721813,0.839865264,0.884657584,0.118464556,0.12434059,0.177086013,0.693283494,0.895042031,0.854304793,0.908967221,0.472338764,0.728886829,0.835384059,0.424370304,0.425696519,0.671856364,0.317573709,0.434691907,0.57409024,0.088384838,0.836951614,0.782574196,0.605917079,0.527533434,0.306481345,0.018251413,0.942555975,0.115197838,0.79800211,0.113166029,0.775137351,0.190500776,0.047205151,0.875417399,0.850041425,0.088576923,0.525713305,0.455273309,0.231990222,0.856984098,0.067809962,0.669702072
random114,48,88,31,42,0,14,84,72,100,15,2,63,5,22,64,0,30,76,82,99,32,34,88,22,40,100,62,98,84,48,22,47,44,46,68,60,9,92,44,11,78,18,8,66,9,17,62,71,13,36,75,58,30,39,84,86,72,23,79,7
random115,10,1,3,7,10,8,1,1,4,7,5,0,10,1,7,10,2,4,8,3,6,1,5,7,0,4,2,5,4,5,6,4,7,2,2,2,9,8,2,6,9,1,6,7,1,10,0,2,6,3,1,7,9,5,8,5,7,9,2,8
random116,0.479272196,0.969250172,0.479641267,0.951660282,0.436483973,0.338718158,0.244638646,0.190041067,0.578139793,0.228572124,0.659986159,0.130275101,0.046376176,0.039404503,0.670201532,0.458523477,0.384735578,0.508962593,0.259112321,0.858893477,0.251997856,0.458257087,0.313712994,0.623087471,0.246354879,0.660692870,0.653449296,0.214690164,0.959622597,0.128612738,0.542831850,0.571592327,0.584293143,0.718136357,0.408433726,0.681226364,0.573042107,0.836059222,0.488796311,0.000125476,0.691857019,0.509086860,0.659884466,0.759746140,0.066552048,0.743416203,0.326164740,0.972904361,0.448638028,0.682050618,0.184967428,0.094167138,0.482064966,0.555112294,0.067200192,0.058261719,0.749189478,0.222908446,0.787053453,0.725200016
random117,0.765845999,0.327108742,0.553169185,0.360917572,0.370823839,0.058767678,0.960474386,0.458614527,0.771742565,0.273655708,0.342233012,0.524336949,0.005201004,0.447570807,0.781513524,0.835977092,0.190311827,0.980333688,0.718484322,0.923720079,0.053194724,0.558055634,0.36466023,0.98734151,0.693294251,0.936673924,0.422911828,0.041784534,0.188413455,0.2174474,0.246625576,0.961516628,0.432987866,0.981354251,0.205515291,0.593509325,0.385607104,0.579190821,0.516963385,0.207721854,0.514025906,0.353494027,0.919934946,0.102273803,0.663408071,0.948800857,0.206376935,0.25967978,0.755987378,0.618642865,0.788367644,0.966983239,0.783443115,0.138027069,0.15899413,0.153932315,0.918012328,0.283551009,0.968282731,0.534100535
random118,40,68,82,14,6,1,18,50,63,16,37,79,70,93,58,62,62,11,80,39,51,2,25,8,20,10,82,64,66,86,86,9,85,51,85,58,53,38,58,27,33,64,65,53,85,78,91,45,75,17,57,11,1,98,70,32,100,16,30,43
random119,9,10,4,1,5,1,1,4,1,1,6,7,4,6,4,5,6,8,2,4,4,7,5,1,5,4,4,0,5,7,6,0,3,0,4,1,1,2,7,6,3,4,5,10,9,7,0,1,0,5,9,9,5,8,4,4,0,5,8,10
random120,0.959202395,0.251495876,0.737084734,0.568729930,0.543164819,0.975626178,0.631585436,0.761173763,0.266910794,0.471248749,0.064617096,0.309896020,0.455381385,0.949652727,0.418654295,0.740440601,0.167801739,0.229333030,0.543541158,0.136858357,0.634193315,0.572711549,0.312872358,0.580952793,0.391121483,0.992647444,0.946719206,0.678532131,0.069083878,0.728341421,0.154539707,0.359424619,0.129886818,0.278833016,0.233092247,0.772788170,0.592806552,0.550038663,0.825687461,0.728083311,0.588315462,0.502809228,0.634694998,0.231632887,0.790742162,0.618318314,0.228716670,0.248661015,0.580410589,0.793388665,0.838666424,0.941359836,0.680870503,0.401232103,0.710882339,0.146089985,0.366263498,0.170241831,0.874043424,0.268925359
random121,0.171879802,0.221955509,0.481829978,0.725119754,0.691225533,0.454065495,0.074807982,0.935477483,0.309793107,0.148107945,0.243978925,0.63195424,0.699688453,0.938084521,0.925498013,0.489363215,0.726930363,0.764261899,0.693886309,0.621875786,0.809093132,0.917907534,0.38495153,0.427112733,0.870526206,0.156655699,0.68033649,0.602305884,0.790723274,0.914511134,0.034642322,0.966981054,0.183909781,0.67439192,0.007903409,0.125151557,0.960129819,0.002984573,0.767884659,0.819755677,0.513060161,0.583550653,0.098806027,0.293770029,0.745566458,0.804979665,0.610791429,0.678668894,0.813743869,0.999237263,0.730125269,0.208254397,0.391329196,0.132973637,0.86849502,0.18935737,0.70357699,0.712982927,0.35025722,0.565403769
random122,98,40,53,31,62,90,11,26,79,34,74,67,92,75,75,57,32,99,75,42,23,51,80,31,84,66,82,81,61,25,98,98,20,87,26,83,28,10,1,51,33,31,14,53,16,78,0,47,61,90,16,82,0,83,21,28,65,74,35,21
random123,8,10,10,0,10,1,4,4,8,0,2,7,4,6,9,6,9,3,10,2,10,7,5,5,3,1,7,4,1,8,6,4,8,0,0,10,6,1,4,6,9,2,6,1,4,8,10,1,7,10,9,10,4,7,1,9,2,8,5,3
random124,0.478524417,0.880034946,0.306704944,0.713891094,0.838039124,0.787649122,0.636969260,0.325642016,0.691895326,0.044008126,0.032446854,0.093633125,0.298140741,0.054252395,0.144740260,0.499538572,0.874303759,0.782808783,0.719457868,0.646111671,0.849658844,0.044978466,0.938960973,0.243456532,0.685031856,0.709715444,0.358082663,0.801456376,0.365989337,0.720769349,0.941911423,0.874856525,0.956736635,0.975663450,0.942978421,0.157777561,0.396638310,0.362933511,0.342850450,0.040449086,0.671191689,0.089184733,0.993405677,0.682917921,0.308673546,0.008673839,0.598526280,0.152066229,0.544089991,0.436455861,0.983143766,0.289113827,0.294046877,0.082731936,0.702326780,0.679473534,0.716175253,0.166207917,0.517611455,0.103905623
random125,0.933886886,0.44420036,0.386875777,0.192825965,0.424082357,0.167596717,0.275587384,0.28800476,0.50495575,0.958517458,0.634154178,0.682385362,0.715167656,0.025562388,0.766776986,0.083780263,0.345655551,0.625684716,0.210851647,0.990192588,0.564752374,0.377282071,0.663317035,0.568172575,0.521557229,0.067834535,0.3327503,0.650929224,0.574368086,0.167859442,0.085886452,0.03648229,0.827574653,0.706193444,0.936213329,0.323453847,0.481657657,0.174511065,0.672181446,0.780538589,0.611416864,0.662363138,0.6424079,0.347247752,0.530598189,0.085767092,0.025690813,0.156421386,0.622472346,0.472154599,0.255146058,0.283377676,0.845841944,0.314694531,0.685156314,0.45790582,0.810096663,0.257682253,0.916560435,0.812566507
random126,47,71,91,74,18,63,83,81,69,13,75,26,51,49,26,32,79,94,93,8,74,58,7,55,43,19,98,2,90,67,80,64,29,2,33,19,17,45,30,97,79,79,19,94,4,33,4,99,15,82,43,86,69,69,99,82,49,83,89,54
random127,8,0,6,7,10,1,9,9,10,8,5,7,1,10,4,2,7,1,2,5,0,10,2,5,2,1,7,0,8,1,10,5,6,0,1,1,4,8,7,4,7,5,1,8,8,7,5,7,3,1,9,9,5,4,2,4,1,2,1,3
random128,0.154892009,0.455577135,0.410530553,0.195903069,0.627442753,0.308367370,0.508348915,0.276005852,0.602937691,0.859143582,0.537285696,0.740840528,0.716992095,0.364875328,0.903159976,0.300245484,0.688729861,0.475390160,0.468443061,0.266641985,0.854054804,0.313760669,0.914557660,0.467745844,0.405511493,0.331157867,0.006865954,0.704947778,0.302452659,0.331638866,0.402813767,0.406858284,0.577240085,0.083192880,0.948107687,0.521505245,0.545502647,0.463689587,0.298446742,0.675107414,0.400727009,0.732887158,0.816455432,0.009379340,0.404913950,0.463448895,0.509103169,0.797434988,0.936464176,0.479810989,0.027056766,0.537020204,0.775732871,0.320485901,0.150464586,0.088980408,0.376230195,0.780617894,0.246351629,0.750141748
random129,0.829727256,0.200880787,0.407120562,0.182929544,0.020072316,0.476813373,0.491872484,0.992115278,0.987158706,0.851457639,0.936411249,0.295358842,0.489251741,0.040511593,0.142443408,0.933862621,0.962098859,0.274684043,0.05624473,0.687521114,0.580875421,0.469351441,0.667185479,0.491156174,0.266815802,0.357095661,0.791423881,0.648139192,0.857108763,0.885336933,0.790851185,0.468566617,0.565210573,0.924312416,0.724842923,0.668715756,0.506432047,0.064756771,0.989747393,0.025036797,0.861998211,0.18236225,0.672215679,0.440212275,0.028543462,0.978162999,0.078289302,0.967554439,0.655162186,0.658042736,0.825495883,0.920294159,0.994432752,0.433291863,0.526466533,0.604426619,0.78437081,0.231295074,0.772881496,0.201550146
random130,39,75,39,54,43,12,77,65,80,43,78,63,41,97,19,81,98,42,17,41,45,93,53,21,95,18,91,18,81,75,42,3,35,65,34,52,92,60,34,5,35,71,51,27,19,90,100,61,89,53,64,92,39,19,10,69,76,17,96,65
random131,1,10,6,9,0,9,10,6,7,9,9,6,4,1,1,8,10,2,8,2,7,9,6,4,2,3,9,5,1,7,8,7,1,3,8,5,7,5,6,8,2,7,0,8,2,6,5,9,9,8,0,2,0,4,1,10,1,7,2,6
random132,0.373783210,0.681446364,0.792720970,0.185819105,0.176343271,0.830571808,0.267458078,0.846875777,0.971375607,0.239907567,0.320831305,0.400749801,0.407853009,0.570065011,0.190748438,0.937951100,0.966621076,0.818442074,0.431679985,0.030291095,0.953523266,0.487139228,0.960958319,0.367929299,0.886057089,0.544102119,0.486394817,0.883550651,0.579061829,0.132693479,0.189180521,0.907602714,0.615310992,0.151663217,0.021154204,0.303537653,0.046135683,0.067095658,0.234358366,0.164853544,0.216500893,0.549008129,0.448534136,0.619346674,0.892370514,0.246578148,0.896385544,0.482018283,0.618962723,0.788171586,0.358051544,0.449254746,0.281596417,0.649766845,0.165862132,0.404406552,0.040618893,0.052826295,0.909539137,0.689398964
random133,0.376307598,0.903054711,0.36159688,0.5983461,0.226948508,0.638200715,0.331598615,0.5661334,0.937955932,0.483807769,0.414310472,0.541700153,0.908180946,0.79744914,0.305798554,0.910309186,0.575983969,0.556598274,0.472416113,0.401886808,0.210891616,0.879634429,0.36808111,0.544610317,0.790583493,0.596048046,0.094436636,0.509297158,0.812852681,0.0367737,0.211620245,0.231944222,0.68560493,0.966373775,0.940567818,0.318115855,0.787608843,0.415611206,0.194619809,0.395905056,0.808224452,0.064231753,0.927482599,0.602824221,0.138849529,0.952608199,0.42009333,0.994995425,0.804866312,0.719265774,0.004810933,0.854973048,0.088932925,0.923940198,0.220834182,0.186955374,0.101381263,0.22091474,0.623211794,0.875450751
random134,54,18,20,61,55,64,66,3,15,50,28,84,9,43,78,17,54,85,42,66,27,37,35,33,58,39,13,60,83,89,59,46,92,12,68,45,32,21,49,93,8,63,51,47,70,59,5,2,4,46,34,70,56,94,48,98,57,67,83,29
random135,9,2,3,7,2,10,0,10,10,10,10,9,10,8,8,7,8,10,0,6,5,0,5,4,5,8,10,6,5,3,10,8,8,10,5,3,7,0,6,9,8,4,5,5,0,0,8,2,1,4,5,3,9,3,10,5,6,4,0,9
random136,0.836502404,0.094286474,0.304926268,0.394946756,0.594041355,0.991217277,0.690268780,0.343951859,0.291036165,0.193008467,0.830888303,0.624426724,0.147352631,0.533603346,0.761270140,0.716997154,0.651271382,0.196007836,0.443908617,0.013809811,0.293740133,0.206799927,0.022168847,0.266005597,0.264874792,0.023120401,0.662735700,0.690732098,0.994139555,0.931722499,0.845606826,0.684859090,0.688444264,0.194074067,0.653381416,0.061041347,0.608509325,0.553287041,0.881715658,0.239352204,0.035058677,0.929497195,0.896705156,0.198147308,0.569736613,0.175504000,0.290113104,0.729349064,0.225060866,0.711157317,0.733669699,0.209154109,0.489807597,0.687548227,0.524318029,0.133734923,0.591179324,0.588235665,0.232651277,0.823904758
random137,0.354263772,0.012844146,0.647286767,0.869324507,0.707965889,0.623152853,0.923223812,0.516497829,0.237561609,0.559589158,0.391721665,0.600287857,0.236382246,0.675966832,0.961611389,0.224814738,0.834816542,0.449079131,0.438784195,0.159639966,0.092800378,0.142190696,0.809242116,0.231493776,0.346551671,0.764143497,0.703110988,0.157736093,0.333548433,0.823708276,0.189171485,0.365565679,0.384678995,0.982084869,0.632419013,0.07507383,0.429268489,0.438582564,0.966571849,0.618255968,0.120769412,0.625579136,0.341159593,0.292735024,0.453728563,0.270187161,0.859521412,0.513784935,0.608525682,0.507260757,0.446516781,0.7027446,0.838602374,0.734460052,0.838405541,0.271355535,0.384078318,0.894591264,0.816992173,0.210479753
random138,16,96,7,34,45,78,63,52,87,27,68,68,14,1,31,41,25,63,32,55,66,59,58,78,63,53,26,37,32,93,18,68,24,9,76,16,89,73,58,59,61,55,9,76,19,71,24,6,31,94,61,11,11,92,40,66,99,69,21,67
random139,3,4,10,2,1,5,3,0,10,8,10,7,7,9,8,6,3,2,10,0,7,1,1,7,10,2,5,2,7,3,7,10,7,6,0,9,10,10,9,5,10,6,0,4,9,1,1,2,10,8,3,2,9,6,2,2,8,5,8,0
random140,0.701628934,0.241109521,0.317403541,0.571157617,0.133559469,0.619017967,0.144814759,0.992889629,0.680772286,0.055580226,0.864813451,0.888019423,0.192571069,0.324548205,0.464313643,0.512214774,0.012338245,0.527144120,0.181694604,0.724116059,0.307496885,0.332548487,0.348579287,0.499515525,0.896511242,0.771523905,0.596165798,0.712285403,0.251406052,0.033896351,0.651510046,0.953408552,0.539762188,0.434025775,0.949461934,0.730091397,0.384713597,0.974468032,0.257779284,0.221049794,0.520233570,0.472488562,0.985884787,0.226859310,0.480117380,0.400617803,0.474326863,0.513435239,0.365600652,0.682086178,0.100170909,0.820720383,0.088148102,0.593256684,0.996229588,0.897503706,0.743350082,0.868268353,0.013239779,0.343080607
random141,0.90870791,0.101616674,0.421566097,0.352701765,0.454608033,0.871317585,0.114111016,0.322938187,0.868253719,0.52939272,0.187291663,0.626503723,0.791589581,0.506509193,0.070774937,0.92745927,0.467090022,0.201676727,0.763864364,0.305449254,0.724502718,0.371239744,0.261615472,0.81688778,0.371064858,0.374613299,0.920849126,0.957131956,0.642286488,0.541555983,0.049024408,0.210992247,0.223739941,0.56866967,0.338443479,0.723260645,0.633704266,0.58187286,0.435588257,0.164590553,0.542681442,0.869816505,0.975149818,0.958021221,0.175565587,0.205095862,0.073241993,0.673270743,0.86164152,0.175930221,0.72674922,0.689179657,0.478543319,0.579323289,0.281132906,0.611776936,0.788965905,0.437782449,0.652918722,0.930503516
random142,92,28,46,11,66,96,45,34,34,74,93,64,16,40,92,82,74,13,92,67,21,63,35,57,15,74,1,49,72,13,31,84,7,7,89,64,30,39,95,27,64,95,97,84,6,62,40,2,25,3,3,42,55,27,37,84,58,58,54,40
random143,1,7,7,4,8,3,0,2,6,8,0,9,2,7,3,8,4,10,1,3,1,2,7,8,0,2,10,5,10,10,1,6,5,9,0,3,9,10,1,5,5,5,3,3,6,6,10,10,10,2,5,7,2,2,10,3,0,5,6,0
random144,0.674735237,0.573274434,0.671601445,0.348056570,0.074575871,0.330990921,0.399874338,0.345232418,0.154569473,0.343409182,0.371012303,0.761482597,0.055854511,0.678386590,0.155275687,0.693155199,0.947983645,0.162535247,0.893826434,0.172357714,0.565478943,0.263601908,0.382776686,0.341208707,0.634519071,0.168570455,0.101300182,0.525229042,0.094836674,0.983960173,0.386882365,0.473317715,0.998537811,0.201220121,0.247308780,0.045713465,0.989271698,0.078560217,0.182482139,0.636838066,0.273742577,0.305295722,0.058870087,0.580972654,0.446206030,0.127722310,0.049978048,0.821761235,0.654406753,0.656750729,0.543671167,0.018836983,0.316226939,0.090040738,0.462163102,0.263950356,0.063585494,0.783449152,0.760001285,0.134202053
random145,0.665645293,0.067402824,0.34513173,0.549837234,0.944969542,0.228481704,0.303029323,0.116531544,0.924055871,0.891909851,0.319576375,0.297133488,0.462648049,0.138112245,0.681814915,0.379726979,0.437039232,0.476184933,0.199462279,0.974809338,0.432868556,0.030513988,0.67201538,0.544892074,0.742162176,0.5406701,0.389644401,0.658049309,0.980087552,0.525256661,0.924089494,0.72451031,0.863974399,0.807983123,0.777075005,0.210131261,0.107173258,0.026010099,0.066174625,0.880307836,0.289239282,0.338201836,0.412343782,0.873747527,0.218043816,0.696821474,0.196281522,0.803700693,0.835353924,0.118402569,0.581111267,0.920456918,0.129199813,0.309648684,0.292402935,0.768771997,0.083054804,0.631444603,0.627363471,0.375954557
random146,55,5,48,92,53,66,76,35,39,27,93,30,80,58,22,20,6,39,15,42,98,94,81,20,49,29,81,0,65,9,74,82,7,57,91,28,62,60,57,31,73,45,3,47,75,94,33,48,8,57,49,47,73,75,29,30,98,26,27,13
random147,4,7,1,3,7,5,10,5,10,2,10,2,10,9,7,7,8,9,5,9,1,1,2,5,4,6,4,3,2,1,7,8,0,2,1,4,7,4,5,0,8,3,1,1,9,9,4,1,3,2,5,0,3,1,6,1,8,0,2,0
random148,0.842072153,0.957096849,0.110295002,0.581881242,0.237713848,0.869513152,0.768084879,0.929455619,0.898891686,0.583226152,0.021025754,0.913845086,0.862983543,0.722250868,0.399022988,0.960131454,0.814366193,0.773159288,0.780683323,0.929216210,0.319660048,0.168427132,0.974919676,0.546660715,0.472778158,0.570193627,0.745961543,0.143646715,0.591854187,0.287096301,0.704521457,0.367015061,0.724583021,0.875663740,0.944905753,0.176401334,0.648650233,0.934411550,0.226109457,0.096619544,0.189623770,0.692344966,0.481714042,0.741901008,0.324409888,0.242447114,0.035703256,0.688246168,0.097641902,0.508518544,0.759466614,0.874571909,0.145675009,0.229712981,0.810529101,0.284283498,0.069134086,0.168969114,0.003766066,0.477983887
random149,0.183003432,0.981353904,0.384078361,0.306272331,0.876848438,0.262970003,0.54510912,0.106248788,0.063971495,0.721265329,0.261452935,0.066290856,0.813283413,0.184974948,0.695839919,0.832096184,0.932377199,0.0331354,0.174789557,0.69508526,0.132106556,0.288528459,0.966294169,0.40754933,0.410791059,0.667793758,0.111903413,0.81081084,0.348456179,0.737153757,0.255830049,0.261910557,0.650255649,0.041057744,0.495066395,0.766368336,0.31644969,0.767309992,0.071869125,0.567422389,0.665229383,0.510732936,0.382700098,0.162851421,0.785206765,0.602073509,0.503464685,0.564262718,0.880613416,0.938203326,0.969811102,0.560931995,0.982118978,0.167933637,0.168879126,0.312306832,0.695697708,0.744660776,0.903586573,0.856797225
random150,54,40,31,34,41,80,61,98,95,77,35,80,7,49,26,67,50,65,81,80,90,3,78,5,6,1,87,80,63,38,31,46,79,77,13,40,66,4,50,32,49,92,35,52,78,76,84,96,67,76,29,27,17,0,24,34,36,72,85,28
random151,7,10,5,8,3,7,2,1,10,2,7,7,5,0,6,1,5,7,6,3,8,8,6,7,6,2,7,9,0,7,5,10,6,9,3,1,4,1,4,2,0,3,8,4,7,6,10,6,10,3,2,1,4,2,7,6,6,3,1,6
random152,0.877484962,0.220003380,0.473817279,0.878119664,0.466084087,0.116790181,0.934274333,0.882677963,0.087346041,0.836606597,0.778568448,0.401431973,0.398255094,0.476674206,0.340162528,0.760818252,0.249216381,0.017358145,0.152507371,0.215254812,0.210163697,0.381967694,0.365977489,0.634411376,0.657001943,0.585381947,0.946405633,0.766722194,0.319242787,0.284114932,0.684152659,0.663029958,0.598231109,0.206715141,0.726107277,0.841780219,0.745365026,0.102896597,0.851051070,0.470770439,0.759656650,0.483404786,0.941964884,0.978805548,0.109534978,0.690224589,0.645453646,0.952192022,0.336320353,0.551536548,0.537223955,0.192817456,0.939582256,0.713010343,0.574486708,0.314328284,0.029291291,0.579002608,0.805064900,0.892530204
random153,0.433923737,0.388116988,0.179710285,0.775395126,0.633752071,0.350587161,0.279844856,0.990517803,0.904378718,0.651373009,0.866573174,0.625477005,0.608478109,0.280413145,0.828967826,0.670775636,0.469147881,0.202287468,0.026817714,0.971769831,0.786912545,0.756675425,0.599380371,0.60832882,0.651139602,0.944354491,0.918310918,0.573524909,0.321552207,0.71458122,0.11988951,0.868966482,0.803735719,0.83653537,0.510687579,0.021948216,0.258686351,0.585689564,0.243809695,0.556780336,0.068088931,0.235576515,0.208472316,0.859927197,0.30211084,0.874778046,0.784605431,0.904764821,0.941846604,0.181557527,0.60721598,0.285467685,0.52765548,0.48831314,0.725329451,0.082051448,0.829561897,0.690405694,0.430424132,0.915633755
random154,37,97,14,80,51,36,10,46,64,58,92,58,100,25,50,25,35,77,42,47,65,24,5,79,30,73,10,60,9,73,21,97,56,87,87,62,92,0,78,36,71,26,86,74,47,67,69,74,20,22,82,60,31,10,73,38,17,62,82,98
random155,10,6,3,2,5,2,6,7,3,3,8,4,1,2,6,5,0,4,9,7,5,1,1,1,5,9,7,8,0,5,2,5,3,6,3,8,8,10,9,2,8,8,10,9,9,9,5,5,0,6,6,7,7,6,6,0,6,6,8,5
random156,0.994709176,0.273031550,0.400072438,0.212127535,0.674599220,0.659125669,0.174155194,0.526603437,0.505745263,0.851201899,0.780971638,0.721598436,0.740414668,0.802231200,0.562711162,0.836114489,0.181599738,0.991901423,0.658175881,0.336434467,0.834109510,0.860499846,0.698432523,0.792143484,0.131754922,0.197892449,0.873984021,0.300238535,0.117167183,0.729950224,0.052997370,0.235722753,0.968209574,0.938082097,0.397991819,0.420062445,0.900910632,0.307176799,0.560324866,0.599781003,0.228050025,0.802903623,0.852553715,0.656464723,0.961500620,0.707667277,0.160405890,0.365380348,0.852462145,0.702265019,0.650599235,0.742046158,0.730360722,0.720596610,0.371773798,0.834024852,0.478411337,0.429042600,0.756853064,0.479433150
random157,0.268806266,0.302456198,0.184246557,0.571218822,0.843481569,0.013768659,0.95740946,0.982779455,0.491657826,0.867289786,0.610983482,0.478917529,0.714773357,0.175123372,0.334114695,0.332727921,0.05859207,0.877806311,0.922263003,0.731061505,0.179065897,0.886527373,0.665838582,0.072698069,0.377030135,0.5520211,0.821568829,0.432488779,0.56303096,0.675383815,0.319012242,0.860789729,0.623917337,0.787336253,0.349769191,0.249701907,0.941143781,0.254315771,0.714038216,0.241794955,0.542033627,0.134388144,0.209117179,0.651616308,0.016749953,0.947164758,0.812433018,0.118132326,0.623914003,0.310909987,0.163317519,0.403003476,0.220519174,0.625586953,0.391476487,0.364531829,0.639617997,0.486603005,0.936701754,0.228498298
random158,81,71,2,81,36,30,1,6,20,97,73,44,1,94,12,94,85,58,96,77,57,54,44,8,76,57,84,58,50,60,35,64,1,15,43,67,61,50,24,33,41,94,93,84,11,64,20,77,78,17,26,13,3,39,83,39,19,76,5,48
random159,0,8,3,5,1,8,8,0,2,1,9,5,8,5,2,3,7,2,1,8,6,6,10,10,4,5,10,10,9,1,4,8,1,1,6,2,5,5,10,9,0,1,4,0,6,5,9,5,10,7,8,5,5,6,0,1,2,6,5,10
random160,0.980864046,0.266682473,0.087597095,0.820866047,0.123195140,0.587705103,0.622593372,0.986873557,0.423769088,0.185449550,0.797090466,0.627093639,0.349417887,0.799364433,0.702031203,0.727609920,0.537524844,0.924605262,0.035044527,0.171093648,0.490405110,0.237265188,0.945826929,0.774872241,0.522470145,0.243245935,0.976203424,0.243866361,0.411620696,0.989881386,0.910525069,0.236177525,0.209216504,0.678264235,0.400029038,0.930521755,0.228021422,0.224291865,0.127312594,0.356370007,0.125169471,0.971562883,0.246844571,0.301837123,0.820612969,0.225172900,0.636113074,0.539778957,0.259215673,0.551727426,0.104659431,0.902995708,0.739045735,0.398865017,0.989497182,0.884370505,0.313137833,0.631990138,0.655297437,0.214757462
